"","setdiff(Orig$V1, remain$V1)"
"924","testassemblies2486"
"925","testassemblies2487"
"926","testassemblies2488"
"927","testassemblies2489"
"928","testassemblies2491"
"929","testassemblies2493"
"930","testassemblies2494"
"931","testassemblies2495"
"932","testassemblies2496"
"933","testassemblies2497"
"934","testassemblies2498"
"935","testassemblies2499"
"936","testassemblies2500"
"937","testassemblies2501"
"938","testassemblies2502"
"939","testassemblies2503"
"940","testassemblies2504"
"941","testassemblies2505"
"942","testassemblies2506"
"943","testassemblies2507"
"944","testassemblies2508"
"945","testassemblies2509"
"946","testassemblies2510"
"947","testassemblies2511"
"948","testassemblies2514"
"949","testassemblies2515"
"950","testassemblies2517"
"951","testassemblies2518"
"952","testassemblies2519"
"953","testassemblies2520"
"954","testassemblies2521"
"955","testassemblies2522"
"956","testassemblies2523"
"957","testassemblies2524"
"958","testassemblies2525"
"959","testassemblies2529"
"960","testassemblies2530"
"961","testassemblies2533"
"962","testassemblies2534"
"963","testassemblies2539"
"964","testassemblies2540"
"965","testassemblies2541"
"966","testassemblies2542"
"967","testassemblies2543"
"968","testassemblies2544"
"969","testassemblies2545"
"970","testassemblies2546"
"971","testassemblies2549"
"972","testassemblies2550"
"973","testassemblies2551"
"974","testassemblies2552"
"975","testassemblies2553"
"976","testassemblies2554"
"977","testassemblies2556"
"978","testassemblies2557"
"979","testassemblies2558"
"980","testassemblies2559"
"981","testassemblies2560"
"982","testassemblies2561"
"983","testassemblies2562"
"984","testassemblies2563"
"985","testassemblies2564"
"986","testassemblies2565"
"987","testassemblies2566"
"988","testassemblies2567"
"989","testassemblies2569"
"990","testassemblies2570"
"991","testassemblies2571"
"992","testassemblies2572"
"993","testassemblies2573"
"994","testassemblies2574"
"995","testassemblies2575"
"996","testassemblies2576"
"997","testassemblies2577"
"998","testassemblies2578"
"999","testassemblies2580"
"1000","testassemblies2584"
"1001","testassemblies2588"
"1002","testassemblies2589"
"1003","testassemblies2590"
"1004","testassemblies2591"
"1005","testassemblies2594"
"1006","testassemblies2599"
"1007","testassemblies2600"
"1008","testassemblies2601"
"1009","testassemblies2603"
"1010","testassemblies2604"
"1011","testassemblies2608"
"1012","testassemblies2609"
"1013","testassemblies2611"
"1014","testassemblies2612"
"1015","testassemblies2613"
"1016","testassemblies2614"
"1017","testassemblies2615"
"1018","testassemblies2616"
"1019","testassemblies2618"
"1020","testassemblies2619"
"1021","testassemblies2620"
"1022","testassemblies2621"
"1023","testassemblies2622"
"1024","testassemblies2623"
"1025","testassemblies2624"
"1026","testassemblies2625"
"1027","testassemblies2626"
"1028","testassemblies2627"
"1029","testassemblies2628"
"1030","testassemblies2629"
"1031","testassemblies2630"
"1032","testassemblies2631"
"1033","testassemblies2632"
"1034","testassemblies2633"
"1035","testassemblies2636"
"1036","testassemblies2637"
"1037","testassemblies2638"
"1038","testassemblies2639"
"1039","testassemblies2640"
"1040","testassemblies2641"
"1041","testassemblies2642"
"1042","testassemblies2646"
"1043","testassemblies2647"
"1044","testassemblies2648"
"1045","testassemblies2649"
"1046","testassemblies2650"
"1047","testassemblies2651"
"1048","testassemblies2652"
"1049","testassemblies2653"
"1050","testassemblies2654"
"1051","testassemblies2655"
"1052","testassemblies2656"
"1053","testassemblies2657"
"1054","testassemblies2658"
"1055","testassemblies2659"
"1056","testassemblies2661"
"1057","testassemblies2662"
"1058","testassemblies2663"
"1059","testassemblies2664"
"1060","testassemblies2665"
"1061","testassemblies2668"
"1062","testassemblies2669"
"1063","testassemblies2670"
"1064","testassemblies2672"
"1065","testassemblies2673"
"1066","testassemblies2674"
"1067","testassemblies2675"
"1068","testassemblies2676"
"1069","testassemblies2677"
"1070","testassemblies2678"
"1071","testassemblies2679"
"1072","testassemblies2680"
"1073","testassemblies2681"
"1074","testassemblies2682"
"1075","testassemblies2683"
"1076","testassemblies2684"
