"","setdiff(Orig$V1, remain$V1)"
"1074","testassemblies2260"
"1075","testassemblies2263"
"1076","testassemblies2264"
"1077","testassemblies2265"
"1078","testassemblies2266"
"1079","testassemblies2267"
"1080","testassemblies2268"
"1081","testassemblies2273"
"1082","testassemblies2274"
"1083","testassemblies2275"
"1084","testassemblies2276"
"1085","testassemblies2277"
"1086","testassemblies2278"
"1087","testassemblies2279"
"1088","testassemblies2280"
"1089","testassemblies2281"
"1090","testassemblies2282"
"1091","testassemblies2283"
"1092","testassemblies2286"
"1093","testassemblies2287"
"1094","testassemblies2288"
"1095","testassemblies2291"
"1096","testassemblies2292"
"1097","testassemblies2294"
"1098","testassemblies2296"
"1099","testassemblies2297"
"1100","testassemblies2298"
"1101","testassemblies2299"
"1102","testassemblies2300"
"1103","testassemblies2301"
"1104","testassemblies2303"
"1105","testassemblies2307"
"1106","testassemblies2308"
"1107","testassemblies2309"
"1108","testassemblies2310"
"1109","testassemblies2311"
"1110","testassemblies2312"
"1111","testassemblies2313"
"1112","testassemblies2314"
"1113","testassemblies2319"
"1114","testassemblies2327"
"1115","testassemblies2328"
"1116","testassemblies2329"
"1117","testassemblies2330"
"1118","testassemblies2331"
"1119","testassemblies2334"
"1120","testassemblies2335"
"1121","testassemblies2336"
"1122","testassemblies2337"
"1123","testassemblies2338"
"1124","testassemblies2339"
"1125","testassemblies2342"
"1126","testassemblies2346"
"1127","testassemblies2347"
"1128","testassemblies2348"
"1129","testassemblies2349"
"1130","testassemblies2352"
"1131","testassemblies2353"
"1132","testassemblies2354"
"1133","testassemblies2355"
"1134","testassemblies2356"
"1135","testassemblies2357"
"1136","testassemblies2358"
"1137","testassemblies2359"
"1138","testassemblies2360"
"1139","testassemblies2364"
"1140","testassemblies2365"
"1141","testassemblies2366"
"1142","testassemblies2373"
"1143","testassemblies2374"
"1144","testassemblies2375"
"1145","testassemblies2376"
"1146","testassemblies2377"
"1147","testassemblies2378"
"1148","testassemblies2379"
"1149","testassemblies2384"
"1150","testassemblies2387"
"1151","testassemblies2391"
"1152","testassemblies2393"
"1153","testassemblies2397"
"1154","testassemblies2398"
"1155","testassemblies2399"
"1156","testassemblies2400"
"1157","testassemblies2402"
"1158","testassemblies2403"
"1159","testassemblies2411"
"1160","testassemblies2412"
"1161","testassemblies2414"
"1162","testassemblies2421"
"1163","testassemblies2423"
"1164","testassemblies2424"
"1165","testassemblies2425"
"1166","testassemblies2426"
"1167","testassemblies2427"
"1168","testassemblies2428"
"1169","testassemblies2429"
"1170","testassemblies2433"
